,comments
151,"vimdiff* shows the markers and OP didn't like that, in fact he said:

Mergetools exist because nobody wants to edit conflict markers by hand.

Which I don't agree with. If other tools remove the markers, they should at least give the option to show them (exactly as git presents them).
Fortunately the vimdiff* ones do. In fact, I wrote vimdiff3, which is basically the file with the markers plus some hints."
152,"I'm not sure diffconflicts is a name that would allow recognition. So, I'm the guy https://trunkbaseddevelopment.com. Say that and there's a good 50:50 chance the average developer with 10 years experience knows what is being referred to. Say GitHub-Flow, and there's a 90% chance the same 10-yr developer knows what is being referred to. Same for Git-Flow.  
How about something working in ""Low"" (adjective) - ""Low Diff Conflict"", ""Low Diff Merging"" ""Low Merging"", ""LoMerge"". Or Minimal/Min instead of Low/Lo."
153,"Found time today so I am posting it now. The image with vanilla Emacs + Magit is here. The left is the local Head, and the right is the local branch. I am not 100% sure about the last sentence so I am going to search a little bit more to understand it."
154,"That sounds like a solid workflow and a great final step to ensure you didn't miss anything from either side.
I think my ideal would be a two-way diff between each half of MERGED with LOCAL and REMOTE on either side of that (so four windows total) but that's a lot to fit in a terminal which is why diffconflicts opted to show the latter three in a separate tab page. I think a GUI tool could handle all that nicely though in a single window."
155,"since not a single mergetool removes those markers (at least from the git side).

My guess is that's just inertia from the default since several mergetools do remove or hide them (outside of the git invocation scripts). It'll be interesting to watch the discussion on the mailing list thread you started.

You probably would not like it

Thanks for the explanation. You're right; I don't like it. :)"
156,Right. There's a screenshot of what you're describing in the comparison section. You're left with either diffing LOCAL against REMOTE and re-resolving conflicts that Git already resolved or editing conflict markers by hand. Both of which this post is aiming to avoid.
157,"Ive never seen the markers in my vimdiff, but then I’ve never made heads or tails of the 4 way merge. Ill take a look at vimdiff3."
158,"Perfect writeup for P4Merge.
How about Express instead Low/Min ?"
159,"You're very right about Git-Flow.
Thanks for the suggestions. What mental image does ""low"" evoke? I'm not sure I see the association. Low like in ""low level"" or something else?
How about ""split""? Perhaps ""Split Diff Conflict"" or ""Split Conflicts"" or ""Split Merging""?"
160,Awesome! That looks exactly right. Thank you for making that screenshot; I added it to the post. I don't understand that sentence either but now I want to do some code-diving to see how they're setting this up. This is the first tool aside from mine that I've seen do this. Very cool. Thanks again.
161,"You are not supposed to diff LOCAL against REMOTE; they are there just for reference.
You are supposed to edit MERGED, and resolve the conflicts there. Yes, that requires editing conflict markers by hand.
In all mergetools you are supposed to edit the conflict markers.
In theory you could configure git mergetool to automatically remove the conflict markers, but you would need to choose which code to leave (local, remote, or base), which in my experience vary on every ""merge"".
I prefer to choose chunk by chunk."
162,Weird. The first image in the post shows vimdiff with the markers (bottom pane).
163,"Examples of low that strike a mental image: ""low effort"", ""Low Fi"", ""low profile"". And yes, even ""low level"". There's a connotation of ""good"" or ""efficient"" there. I'm not sure ""split <something>"" is snappy or attractive, or alluding to good or efficient or better or quicker."
164,"You are welcome, If this helps you, you can ask in magit's gitter and ask the guys there. They are always happy to help!"
165,"In all mergetools you are supposed to edit the conflict markers.

Nah, several of the graphical tools don't show them at all. Conflict markers are just one way to visualize differences.

In theory you could configure git mergetool to automatically remove the conflict markers

I did! (or as a shell script.)

you would need to choose which code to leave (local, remote, or base)

I leave those exactly intact because they are very useful as a reference. I instead create two new temporary files (left conflict, and right conflict) and, if the merge is successful, eventually overwrite MERGED with the result.

I prefer to choose chunk by chunk.

That's cool. We can still be friends."
166,"Nah, several of the graphical tools don't show them at all.

I mean the scripts in ""/usr/lib/git-core/mergetools/"". All of them pass unedited MERGED. What each tool decides to do with that afterwards is a different story.

I did! (or as a shell script.)

No, you created a separate tool. I mean modify git mergetool itself.

I leave those exactly intact because they are very useful as a reference.

Not true. I looked at your code. You have two versions of MERGED, both with markers removed.

The left pane is MERGED with all markers removed, except the equivalent of the ""local"" side.
The right pane is MERGED with all markers removed, except the equivalent of the ""remote"" side.


That's cool. We can still be friends.

Friends don't let friends remove conflict markers :p"
167,"No, you created a separate tool. I mean modify git mergetool itself.

I feel like we're splitting hairs here. The shell script changes you submitted to the mailing list are almost identical to the shell script in my original implementation, except I don't overwrite LOCAL or REMOTE. But you are right that it would be useful to do this upstream in order to influence the approach downstream mergetools take.

All of them pass unedited MERGED. What each tool decides to do with that afterwards is a different story.
[...]
You have two versions of MERGED, both with markers removed.

Look again. Neither one of my implementations modify MERGED, LOCAL, REMOTE, or BASE. They both pass all four of those files, unedited, to vimdiff. The plugin then splits MERGED as two unsaved buffers, and the shell script creates two, new temporary files.

The left pane is MERGED with all markers removed, except the equivalent of the ""local"" side.

Not quite. The ""left"" side of MERGED isn't the same thing as LOCAL. They're not equivalent which is the main point. LOCAL is the state of the file before the merge.

Friends don't let friends remove conflict markers :p

In that case think of it not as removing the conflict markers but rather displaying them in a different way. We're still friends."
168,"The shell script changes you submitted to the mailing list are almost identical to the shell script in my original implementation, except I don't overwrite LOCAL or REMOTE.

You don't use LOCAL or REMOTE.

But you are right that it would be useful to do this upstream in order to influence the approach downstream mergetools take.

That's the point. This way all other mergetools would benefit.

They both pass all four of those files, unedited, to vimdiff.

It doesn't matter if you modify the file or not; you modify the buffer, so the user is presented with a modified version of MERGED without the markers.

The ""left"" side of MERGED isn't the same thing as LOCAL.

I know they are not, but with my patch they are.
Do you know how to try my patch?"
169,"You don't use LOCAL or REMOTE.
[...]
Do you know how to try my patch?

Yes I know how. However I do use LOCAL and REMOTE and so your patch is a worse version of what I'm already using and it would be a worse upstream mergetool for everyone.
The blog post mentions why LOCAL and REMOTE are useful in addition to a split MERGED. The diffconflicts plugin accepts LOCAL and REMOTE as arguments in order to display them in a new tabpage on demand.

with my patch [the] ""left"" side of MERGED [is] the same thing as LOCAL.

That makes things worse because we already have LOCAL and we already have the left side of MERGED. We don't need two copies of the same result. It would be nice to have both a copy of the file before the merge and a copy of the file after the conflict resolution. I'm not advocating for replacing LOCAL; I'm advocating for not including it in the default diff or during the manual resolution step.
We may be talking past each other a bit so this is probably a good place to pause. We're friends and I owe you a beer at the next non-pandemic'd Vim conference for a deep conversation and for getting a dialog going upstream.
Cheers."
170,"However I do use LOCAL and REMOTE

Do you? Your blog post doesn't mention how to view those files.

your patch is a worse version of what I'm already using and it would be a worse upstream mergetool for everyone.

Name one problem.

That makes things worse because we already have LOCAL and we already have the left side of MERGED.

You have the left side of MERGED. The rest of the world doesn't."
171,"Cool project (and thanks for the props)!
Question for you (I don't often get to talk to people who think deeply about diffing \^_\^): What is the utility of a three-way diff when resolving conflicts?
I've always been puzzled by the popularity of those tools. I completely appreciate a three-way diff when trying to understand the history that led up to the conflict, of course -- both authors started from BASE, authorA makes changes in LOCAL, authorB makes changes in REMOTE and seeing all three versions helps to understand the individual intents that lead to the conflict. But that's very much a read-only, data collection step for me. (That's why that opt-in three-way tab in diffconflicts is read-only.) Often the resolution is that I want some combination of LOCAL and REMOTE, or occasionally only LOCAL or REMOTE, but I can't think of a time where I've wanted to disregard both and go back to BASE.
Three-way diffing tools are certainly popular though so I often wonder if I'm the crazy one or if it's everyone else. :-D  If you made it this far past my wall o' text, I'd be interested to hear what utility you see/use that I might be missing."
172,How would this be different from vim-fugitive as a merge-tool?
173,"Out of curiosity, how does it compare to splice?"
174,"Definitely a lot of configuration, and now I'm hitting an error that I can't find a resolution to:
""File does not have conflict markers.""
... when I do indeed have conflict markers. Could my markers be misconfigured? Maybe it's a 2-way/3-way compatibility difference?
EDIT: but FYI the readme is well formatted, informative & readable. A lot of configuration is sometimes necessary for things like this, especially when wanting it to work ""seamlessly"" in different contexts, like from git with ""git mergetool""."
175,friendly suggestion: use gifs/video to illustrate the features.
176,[deleted]
177,I'll use it next time I hit a merge conflict and let you know what I think :P
178,"mark, was just thinking to start using vim as mergetool!"
179,What color scheme are you using in your screenshots?
